Customer_ID,Name,City,Contact_Number,Email,Gender,Address
C001,Brian Gregory,Westminster,+44 7011 123 456,anthony21@gmail.com,Female,"0666 Fisher Port Apt. 845, Warnerside, WV 30143"
C002,Heather Ferguson,Soho,+44 7022 234 567,carrieowen@yahoo.com,Female,"93880 Chris Trail, Cynthiaton, AL 09470"
C003,James Franklin,Covent Garden,+44 7033 345 678,valeriesoto@nunez-reilly.com,Male,"51798 Obrien Drive Suite 021, West Robert, MS 65794"
C004,Brett Manning,Mayfair,+44 7044 456 789,smithmichael@landry-garcia.biz,Female,"748 Jillian Loaf Apt. 098, Mayton, CO 33992"
C005,Tara Martinez,Holborn,+44 7055 567 890,williamholden@paul.com,Male,"227 Jennifer Vista Suite 515, Jacksonbury, PA 88815"
C006,Elizabeth Garcia,Camden,+44 7066 678 901,tammy53@hotmail.com,Female,"1080 Rowe Plains Suite 400, Port Christinaview, WI 05010"
C007,Chloe Marshall,Kensington,+44 7077 789 012,jevans@hotmail.com,Male,"997 Harper Common Suite 611, Lake Justinshire, IA 30754"
C008,Erica Bass,Chelsea,+44 7088 890 123,stewartdaniel@reed-shepherd.com,Female,"5069 Jackson Mall Suite 409, North Loganhaven, RI 14682"
C009,Jay Graham,Notting Hill,+44 7099 901 234,bwillis@yahoo.com,Female,"Unit 1651 Box 3427, DPO AA 20948"
C010,Kyle Brown,Shoreditch,+44 7100 012 345,cheryl75@faulkner.net,Male,"USCGC Davis, FPO AP 86440"
C011,Kimberly Patterson,Islington,+44 7111 123 456,johnallen@griffin.info,Female,"6584 Seth Lights Suite 164, Averyhaven, WV 04176"
C012,Walter Hess,Brixton,+44 7122 234 567,christine10@hotmail.com,Male,"2460 Julia Well Suite 967, Davidborough, IA 52243"
C013,Jason Moore,Greenwich,+44 7133 345 678,keithsanchez@yahoo.com,Female,"49205 Gonzales Greens Apt. 046, Thomaschester, ME 34290"
C014,Colin Rogers,Hackney,+44 7144 456 789,dsteele@smith-rose.com,Female,"4717 Victor Well Suite 431, West Joshuahaven, ID 40759"
C015,Tyler Petersen,Stratford,+44 7155 567 890,melissa38@brown.com,Female,"USNV Smith, FPO AE 80349"
C016,Sarah Evans,Croydon,+44 7166 678 901,austin23@hotmail.com,Male,"74483 Vega Summit Suite 012, Noahburgh, NE 80270"
C017,Bethany Dean,Harrow,+44 7177 789 012,luke52@wagner.com,Male,"529 Robinson Shores Suite 641, Ricardoland, CT 97851"
C018,James Madden,Ealing,+44 7188 890 123,brookesullivan@heath.org,Male,"0779 Washington Mills, Port Andrew, MT 37055"
C019,Dakota Williams,Hounslow,+44 7199 901 234,williamsonkatherine@gmail.com,Male,"Unit 1583 Box 3722, DPO AE 95388"
C020,Veronica Hayes,Barnet,+44 7200 012 345,owenskeith@yahoo.com,Male,"68205 Russell Ville Apt. 426, North Ethanberg, AR 07862"
C021,Dana Alvarado,Walthamstow,+44 7211 123 456,michael19@roberts-brown.com,Female,"359 Patricia Point Suite 999, Port Johnfurt, MN 59659"
C022,Kara Mckinney,Enfield,+44 7222 234 567,ashleyleonard@hotmail.com,Male,"73873 Galvan Coves Suite 450, North Omarview, TX 49072"
C023,Raven Williams,Barking and Dagenham,+44 7233 345 678,brendasutton@gmail.com,Male,"5283 Bobby Points, Catherineberg, SD 72756"
C024,Gregory Long,Westminster,+44 7244 456 789,turneramanda@gmail.com,Female,"808 Morris Forks Apt. 285, South Emilyburgh, DE 94663"
C025,Jeremiah Sanchez,Soho,+44 7255 567 890,sanchezdavid@mcdonald.info,Female,"30083 Welch Union Suite 916, Gallagherhaven, OR 10778"
C026,Brian Wu,Covent Garden,+44 7266 678 901,bryan21@brown.net,Female,"77409 James Port, Lake Michelle, MD 51689"
C027,Jason Villarreal,Mayfair,+44 7277 789 012,crystalmaxwell@gmail.com,Female,"074 Gregory Ridge Suite 193, Lake Jennifer, OH 12554"
C028,Michael Blackburn,Holborn,+44 7288 890 123,steven73@edwards.com,Female,"PSC 7334, Box 7446, APO AE 83516"
C029,Danielle Wilson,Camden,+44 7299 901 234,jessicabriggs@hotmail.com,Female,"56357 Maria Mission, New Christopherborough, TN 49279"
